Topic,Answer,Band
Some people think that children do not get as much attention from their parents as children did in the past. To what extent do you agree or disagree with the opinion?,"In recent years, many parents have little time for their children. Some people are of the opinion that children do not get as much attention from their parents as children did in the past. On the other hand, towards the same issue, other people have a different attitude. Before giving my opinion, I think it is important to look at the argument on both sides.There are several reasons which suggest that children do not get as much attention from their parents as children did in the past. On one hand, people face fierce competition and suffer from great pressure. They have to devote more time and energy to their careers and therefore have no time with their children. On the other hand, high technology brings them more interesting things which can easily attract their attention such as watching TV, surfing the Internet and playing games. They are addicted to these activities, totally ignoring their children. More importantly, the record of divorce rate has been constantly renewed. Obviously, children from broken family get less care and attention from their parents.However, there are a large number of people who hold a different view concerning this case. They believe that children gain more attention from their parents than children did in the past. For one thing, with the development of technology, more and more machines replace men's labour. Therefore, people enjoy more and more free time at home with their children. For another, with the development of economy, people earn more money. Some parents even give up their decent job and devote all their energy to their children. Last but not least, there is a sharp decrease in the number of children a family has. Consequently, each child gets more attention and care from their parents.Both opinions make sense, and consequently it is hard to decide which one is more reasonable. From my own perspective, children get more attention from their parents than children did in the past. Parents spend more time with their children. They have more money to ensure their children's needs. In addition, the number of children decreases dramatically.",7
It is generally acknowledged that the relationship among family members is not as close as it used to be. Give possible reasons and your recommendations.,"Nowadays, couples quarrel more often than they used to do. Brothers and sisters talk less and take less care of each other. Children turn less to their parents for advice. These scenes are just part of the whole picture of today's family alienation. As far as I am concerned, there are several reasons for the above phenomena.The first reason is that people spend more time on their studies and work. Nowadays, people face fierce competition and suffer from great pressure. As a result, they have to devote more time and energy to their careers. Some people are too busy to spare time for their family. What is more, many jobs require people to work in other cities and many children have to leave their parents at an early age to study or work elsewhere. As time passes, these people become emotionally estranged from their families.The alienation among families is also attributed to the increasing number of entertainments available. High technology brings modern people more interesting things which can easily attract their attention, such as watching TV, surfing the Internet or playing video games. Consequently, people are addicted to these activities, totally neglecting the feelings of their family members.Last but not least, people are now more independent than before. Apart from their family, they can easily get help from their friends and it is much easier to make more friends as a result of the rapid improvement in telecommunication. Therefore they are not as dependent on their families as before. To bring families closer, people put forward various suggestions. First, we should spare more time with our family members, no matter how occupied we are. Second, teach children the sense of family when they are still young. Last but not least, the government should organize activities to promote public awareness of the importance of a harmonious family relationship.",8
Some people think it would be a good idea for schools to teach every young person how to be a good parent. Do you agree or disagree with this opinion?,"Generation gap, which is inevitable between youngsters and elders, is not strange to modern people. As for the solution to that problem, various methods have been adopted including introducing relevant courses in schools to educate students how to be a good parent. I am in total favour of that idea.If students can be provided with sufficient knowledge of what constitutes a qualified parent, they can better understand their parents. As we know, some generation conflicts derive not from intrinsic contradiction, but lack of mutual understanding, so if it is possible that children can have access to how to be good parents, they will recognize how much enormous sacrifice their parents have made to bring children up. Accordingly, a harmonious relationship between parents and children can be definitely established.Additionally, through schooling about qualifications of parents, children are more prepared for their future adult life. It is generally agreed that the ultimate purpose of most education is to furnish students with essential skills to cope with problems confronted when stepping into society. One day, youngsters will not be naive, and they form their own families and become parents themselves. Thus some early information about desirable attributes of parents is that invaluable and indispensable to blessed families. After all, the early bird catches the worm.However, there should be some limitations on that practice. As children, nowadays, have been already overburdened with study, education of being good parents need not take up too much time. Secondly, taking children's premature cognitive power into account, teacher shad better select such materials as can be easily understood for those still young children. Only in this way, can the desirable effect be achieved.Overall, I welcome the reform that when children are at their early age, they know how to be a good parent. Perhaps, the term generation gap"" will be soon rendered out-of-date since parents and children begin to behave more like friends than strangers without too much in common.""",7
Parents are the best teachers. Do you agree or disagree?,"Obviously, the earliest teachers we have in our lives in most cases are our parents, and they are generally the most involved in the development and education of their children. Yet neither are all parents good teachers nor are those good parents, in most cases, the best teachers.First of all, not all parents are good teachers. As normal individuals, some parents more or less have bad habits. Even though parents almost instinctively devote themselves to cultivating their offspring, the outcome might turn out to be disappointing, for all children tend to unconsciously or subconsciously copy everything from their parents. Another deficiency of parents as teachers is the fact that most parents lack the common senses of education. All too often we observe that some parents tend to pursue their own cherished but failed dreams by forcing their children to develop in a prearranged direction.Moreover, some parents are qualified as good teachers, but not all of them are the best ones. When children are in the preliminary school, it is not surprising that parents are capable of teaching their children almost every subject. But the situation will not last long. We live in a world where knowledge is accumulated by multiplying and at the same time becomes more and more specialized. Therefore, to be a professional in a certain field today takes a much long time than ever before. No parent is able to be professional in all fields, though they might be experts in one or more fields.Most parts of children's education is virtually beyond teachers' reaches. In a word, it is rather superficial to simply say that parents are the best teachers.",8
A person's childhood years (the time from the birth to the age of twelve years) are the most important years of a person's life. Do you agree or disagree?,"It is generally accepted that a person's childhood years are very important years of their life.But it is hardly appropriate to say those years are the most important.We do not reject the importance of childhood years. Actually it is rather important for the later part of a person's life. Our lives are subject to surroundings. Our world views have been structured from our childhood. Therefore, every one actually sees his own world differently to others. Even though we all live in a single world, every one of us in fact lives in a distinctive world, which are determined by our distinctive perceptions from individual to individual.Hence, we should not suspect that a person's life is influenced by one's childhood.Childhood, however, is merely one of several factors that shape one's later life. Among various factors is one's learning ability. Human beings are superior to any other animals simply because of their ability to learn. Psychology teaches us that training and self-training can alter our characteristics which may eventually alter our lives. Furthermore, learning is a life long process, which means every part of one's life could be an essential period and could play an indispensable role in one's life. For example, Einstein was taken for an idiot by his teacher when he was a child. The awkward attitude of his stupid teacher made Einstein's childhood an awful one. Nevertheless, Einstein did lead a wonderful life.Most parents nowadays seem to believe that childhood is the most important phase of one's life, and therefore often force their children to learn those alleged essential skills. The fact is, such behaviour is rather presumptuous, because, there are still many other important factors that affect one's life.",8
"Nowadays, nurseries and kindergartens take care of children from an early age, so women can return to their work and children can get used to the society early. Is this a good thing? What's your opinion?","Child care is a big issue in all families, and there is a heated debate on the best method of handling it. Nowadays there is a growing tendency for parents to send their children earlier to nurseries and kindergartens. Some even go to nurseries and kindergartens at age 2 or 3so that mothers can be freed from child care and pursue their own careers. People from different backgrounds, however, hold different attitudes toward the matter in question.Some people claim that children should be sent to nurseries earlier. First of all, psychologically speaking, the child needs more opportunities to communicate with his peers. The main task of the child care establishments is to inculcate honesty, courage, discipline, cooperation, friendliness, and good manners. Second, it is beneficial for them to receive systematic and scientific care and rudimentary knowledge from well-trained professionals. Last but not least, sending children earlier to nursery schools enable smothers to devote more time and energy to their jobs. In this way, career success becomes more possible, which is very beneficial to the whole family.However, people rarely reach an absolute consensus on such a controversial issue. The opponents argue that sending children earlier to nursery schools has its demerits. In the first place, it may lead to poorer parent-child relationship for lack of emotional communication. In addition, with mother staying at home, children will be better cared for and given more attention. On the other hand, in nurseries and kindergartens, there is the possibility of lacking adequate care and attention because there are so many children in a class. Moreover, although the family may lose some income, its expenditure will also be greatly reduced. It will no longer be necessary to pay for attending nurseries and kindergartens.Undeniably, there are points in both sides of the argument. But after a careful consideration of the above reasons, I stand on the side of the opponents. To start nursery schools too early is harmful for children mentally. Children who are sent earlier to nursery schools lack the affection of parents. Furthermore, mothers are the first teacher of their own child and exert profound impact on the child's future growth.",8
"Corporal punishment has been practiced in families for quite a long time. In recent years, people's attitudes towards this practice have undergone drastic changes. Nowadays many people strongly oppose it. Should corporal punishment be abolished?","Psychologists warn the parents to respect children's freedom and rights. A good old-fashioned corporal punishment is out of the question. On the other hand, cases of corporal punishment are reported to take place in families now and then. Indeed, the issue whether or not corporal punishment should be abolished has aroused a heated discussion among people.Those who strongly advocate that corporal punishment should not be abolished have cogent reasons for it. First of all, as a proverb says, spare the rod, spoil the child"". Children should be taught to respect discipline, which is the basis of all achievements. Little children are like young trees. In order to grow well, they need to be carefully irrigated, fertilized and trimmed. Furthermore, it helps to reinforce the authority of teachers and parents. Children are hardy creatures. Sometimes they will test the patience of their parents and teacher; teachers and parents should not be too permissive; otherwise they will spoil the children.But the people who hold the view that corporal punishment should be abolished also have sound reasons. In the first place, it seriously violates the legal rights and interests of children.Children are human beings too. They enjoy the same equal human rights as adults do. Their parents have no right to exercise corporal punishment on them. In addition, children may be hurt psychologically. Researches reveal that students who suffer from corporal punishment tend to resort to violence in their future life. Last but not least, it endangers children's physical development. It is a kind of brutality and cruelty which may lead to injury or even death of the children. Recently it is reported in the newspaper that one child lost his hearing due to his father's cruelty.When we consider these two sides more carefully, we can see that corporal punishment does more harm than good to children. Their rights are violated by the uncivilized action. It is detrimental to children's physical and mental development. Therefore, corporal punishment should by all means be forbidden in families.""",8
"Different people hold different views as to whether parents should adopt an instruction or punishment as the principal method for raising their children. If punishment is chosen as the main method, in what ways would you recommend that parents carry it out?","Some people believe that parents should resort to instruction and edification as the main ways to raise their children, while many others maintain that the predominant measure parents ought to take is to discipline them, to make sure that they don't fall into the same pits in the future. Personally I agree with the latter opinion. Moreover, I believe that the best results can be obtained in the following ways.In the first place, parents should try to create a family milieu in which the character development of their children is not suppressed and the young feel free to air their own points of view on various matters. The result will be that the young people will grow up to be men and women of honesty, sincerity, professional commitment and expertise.In the second place, parents should show due respect for their children's personal interests and inclinations as regards their future careers. Some parents try to blueprint the entire future development paths of their children when they are convinced that their authority allows no challenge and their discipline will do the young no harm. However, parents should be on guard against any overuse of preaching and discipline lest it provokes nothing but resentment and rebellion.All in all, disciplining the young can indeed impress upon their minds the conduct they are expected to adopt in society. Yet, the aim of punishment should not be to make the children regard their parents as dictators and fear them. Parents should do all they can to leave plenty of latitude for the development of their children's characters, and not overuse the lever of discipline.",8
"If a five old child commits a crime, should his/her parents have the responsibility and be pun-ished? What is the age of a child when parents no longer bear the responsibility for children's behave-iour? What is your opinion?","It is not uncommon that numerous youngsters are involved in heinous crimes and some kids are only five or six years old, which is really alarming to adults. Who should take the responsibility for this social deterioration, parents or other relevant people? Undoubtedly, as legal guardian and early mentor, parents cannot evade the responsibility and are the main culprits.Of course, we have to admit the fact that social immoral atmosphere, such as the flooding of on-line games, contributes to increasing juvenile delinquency, for violence and pornography contained in the content exert a negative impact on children's vulnerable minds. According to the latest survey, the majority of youth crimes take place in the net bar, where there are actually no effective measures to supervise the operation. Parents, however, are more to blame compared with social factors.In comparison, parents are far more influential to their children's development. Due to lack of economic independence, kids have to spend the majority of their time living with their parents, so inevitably, what parents have done and said will affect underage children to a large extent. If parents commit a crime, then their children will take it for granted and follow suit.In modern society, that divorce tate rockets aggravates the youth crimes. As youngters undergoing growth both physically and psychologically, a healthy family Provides invaluable love and guidance for vulnerable children, who often fall victim to abuse and injury. If that is true, it is not difficult to perceive desperate feeling suffocating poor kids when parents choose to depart from each other and at that time perhaps their children resort to crimes to revenge themselves on their parents.Numerous tragedies have revealed the truth that parents are the immediate contribution to the increase in youth crimes. Perhaps when kids grow to 18 or above, there is no need for parents to be criticized, for by comparison society is a more direct reason.",8
Some people think that parents should spend more time with their children. Do you agree or disagree?,"In China, the parents both have their jobs. With the development of economy, people tend to pursue high quality living conditions. Most of the parents try their best to offer their children comfortable circumstances, but they seldom have time to stay with their children. In my point of view, no matter how busy they are, they should make the best use of their time to stay with their children.First, the relationship between children and adults will be enhanced with parents' spending more time on their children. Children could feel parents' affection through the genial conversation and sharing their pleasure with them. Every time when parents take them to the amusement park, help them to prepare their birthday parties, applaud for them when they are competing in the sports meeting, the time they spend with children will become treasure in their memories.Second, children need the direction from their parents. There are some wrong behaviours in our society such as dishonesty, corruption, violence and eroticism and so on. Children have weak resistance in defending this detrimental influence. In this case, parents' instructions seem to be very important to children's growth. Parents should sit down and talk with them about what they should and shouldn't do. In addition, if parents often spend time in staying with their children, adults' good behaviours will greatly influence their children.Here I do not deny that there are some disadvantages in spending too much time on children. Some parents restrict their children, and give them little freedom to develop their interests. Therefore, I emphasize that parents should educate and instruct their children appropriately in their spare time apart from their busy works.",8
Should parents be obliged to immunize their children against common childhood disease? Or do individuals have the right to choose not to immunize their children?,"The issue of whether we should force parents to immunize their children against common diseases is, in my opinion, a social rather than a medical question. Since we are free to choose what we expose our bodies to in the way of food, drink, or religion for that matter, why should the question of medical treatment"" be any different?Medical researchers and governments are primarily interested in overall statistics and trends and in money-saving schemes which fail to take the individual's concerns and rights into consideration.While immunization against diseases such as tetanus and whooping cough may be effective, little information is released about the harmful effects of vaccinations which can sometimes result in stunted growth or even death.The body is designed to resist disease and to create its own natural immunity through contact with that disease.So when children are given artificial immunity, we create a vulnerable society which is entirely dependent on immunization. In the event that mass immunization programs were to cease, the society as a whole would be more at risk than ever before.In addition there is the issue of the rights of the individual. As members of a society, whys hould we be obliged to subject our children to this potentially harmful practice? Some people may also be against immunization on religious grounds and their needs must also be considered.For these reasons I feel strongly that immunization programs should not be obligatory and that the individual should have the right to choose whether or not to participate.""",8
Nowadays the jet plane is considered to be one of the most important and influential inventions in the world. To what extent do you agree or disagree with this opinion?,"Since jet plane appeared in the 1950s, it has had some revolutionary effects. Many people are of the opinion that it is one of the most important and influential inventions in the world. Some others, however, disagree with them. It seems quite clear to me that one of the most important and influential inventions in the world has been the development of jet plane. My arguments for this point are listed as follows.One of the reasons is that jet travel brings us great convenience and efficiency. A hundred years ago, it took weeks to cross the Atlantic or Pacific oceans by ship. Today, those same trips can be completed in a matter of hours. One can attend a meeting in Paris and have dinner in New York at the same day. These amazing speeds have changed people's concepts of space. Today the world is much smaller than it was in the past.Another reason why I advocate the attitude is that jet travel is relatively cheap. An international journey one hundred years ago was extremely expensive. Only wealthy people could afford to travel comfortably in first class. Poor people had to save for years to purchase a ticket, and the conditions in which they traveled were not very good. Today it is possible for more and more people in every country to travel in comfort. Thus it is possible for business people to do business all over the world, for students to attend universities in other countries, and for tourists to take vacations anywhere in the world.For the reasons presented above, I strongly commit to the notion that jet plane is one of the most important and influential inventions in the world. The speed and low cost of jet travel have changed the world. Individual nations are not as isolated as they were in the past, and people now think of the whole planet as they once thought of their own hometowns.",7
What are the advantages and disadvantages of the Internet?,"In recent years, the Internet has been gaining its popularity at an amazing rate. It seems that anyone who knows little about the Internet is out of date and lags far behind the times.he Internet plays such an important role that it undeniably becomes the biggest concern of the world.Those who favour that the Internet has many advantages give their reasons as follows. In the first place, the Internet brings us great convenience and efficiency. For example, we can send e-mails to our friends in other countries in a few minutes while sending a traditional letter takes us at least a week and costs much. In the second place, we can make friends with people from all parts of the world. It overcomes the geographical barriers and makes the world smaller. Furthermore, the Internet accelerates the flow of information and spreads education to all corners of the globe. We can have easy and quick access to the latest information worldwide.However, the other side of the coin voices its strong opposition, saying that the Internet has many weaknesses. For one thing, it can easily lead to psychological problems. An Internet-addicted person tends to be isolated, self-centered and unsociable. For another, there is a sharp rise in the number of cyber crimes. More and more financial crimes such as money laundering are committed via the Internet. In addition, it also has negative impacts on young people because there are a lot of obscene and violent contents on line.Researches reveal that people who watch too much violence tend to resort to brutal behaviour when arguments happen.For my part, I completely agree with the latter view that the Internet has more disadvantages than advantages. It gives rise to people's mental problems. It results in various computer crimes. What is more, it is harmful to the growth of the young. Some measures should be taken as soon as possible to protect people from the negative effects of the Internet.",8
The development o drawbacks?,"The development of science and technology makes our life more comfortable and convenient. However, scientists have created many problems, which are not easy to beresolved, such as air pollution, the deterioration of environment and the scarcity of natural resources, to which we must find some solutions.Modern science and technology render people many advantages. Modern telecommunication shortens the distance between people and makes communication much easier. Internet is widely used now not only for collection of abundant information but also for correspondence. E-mail, the most effective communication device now, is becoming very popu-lar. Besides, telephone and mobile phone make contact more convenient than before.Modern transportation, such as airplanes and high-speed trains make our journey smooth and fast. With the help of modern transportation, people can go everywhere they prefer to.The journey to outer space and other planets is not a dream any more. Rockets and space shuttles can help us realize the dream of space travel.Modern medicine prolongs people's life and relieves patients of sufferings from many diseases. Cancer and AIDS are fatal to people's health. Thanks to the endeavors scientists have made, these diseases become treatable.However, the process of scientific development also arouses many severe problems to our human beings. Internet, though widely used in modern communication, is easy to be destroyed by computer viruses. Outer space exploration has produced much waste in the space. A tiny metal, a screw, for example can destroy a flying man-made satellite. Industrialization is making natural resources become scarce.Confronted with these problems, scientists are seeking prompt and feasible solutions. The development of science and technology bring about both positive and negative effects to us. We must eliminate the negative effects to the least extent.",8
Do you agree or disagree that technological development is always good?,"Technology threatens and inflicts damage upon our quality of life. The technological developments of this century are creating widespread plagues that could soon destroy the entire world.Let us take air for example. Due to massive air pollution, what we breathe is not relatively safe like it used to be. The fumes from the exhausted pipes of automobiles, trucks and factories blow waste material into the atmosphere. After a period of time, atmospheric changes occur. The fumes, that are collected in the atmosphere, are slowly eating away at the ozone layer. This layer of the atmosphere is what shields us from solar ultra-violet rays. Once this layer is gone, our natural protection against the sun would be gone, and if we were hit by one ray of the sun, we'd burst into flames and turn into a cinder.Another plague of technology is nuclear power. The power that can energize entire cities with electricity could also be the power to destroy. After 1945, the research on nuclear power has increased significantly. Contrary to the belief that it is safe, nuclear power has a way of destroying the whole city. It is not like a fire that can be put out with water or CO2, but spe-cial equipments[d11] have to be used. Afterwards that place would remain radioactive for quite along time, devoid of life and sound.So you see, if technology cannot be halted, our fate is unknown. Our end will not come about by natural means, but by our own technological achievements, and life on Earth would cease to exist.",8
"There have been many technological developments in the 20th century. Choose one of them, describethe changes it has brought about and discuss whether all the changes are positive.","The last century featured many technological revolutions the world over. Among them, computer technology has been the most remarkable. Its rapid development and proliferation of use have changed everything from the way the work is done to cutting-edge scientific research.First of all, computers free us from heavy workload. With the advent of word processors, mistakes in articles can be corrected and editing done without the need to rewrite or retype the entire paper. It is also possible to generate large, stylized type for headings and ill ustrationsso that books can be prepared ready for print.The computer has also brought about great changes in the financial and scientific world. A good case in point is the use of computers in banking. With its help, financial institutions are able to keep track of balances and transactions automatically and more efficiently than they did in the past. In the scientific community, one of its advantages is itsnumber-crunching"" power. This has made accurate weather forecasting possible. It spower has also enabled scientists to get a clearer picture of the human genome.However, not all the changes have had a positive impact on human beings and as a whole. There are quite serious health consequences of a sedentary life in front of a computer, the most obvious being eye strain. Furthermore, it is the social consequences that are more alarming. The computer and the Internet have made direct human contact less and less necessary, which had led to human relationships becoming less close and more confusing.Although some undesirable consequences have arisen from using computer, on the whole, I feel we should embrace the technological advance. There is every reason to believe that computers represent even more efficiency and effectiveness in the future.""",8
"With the help of technology, students nowadays can learn more information and learn it more quickly. Do you agree or disagree?","It is undeniable that developing technologies have brought tremendous benefits, especially in learning area. Learning has become easier than before. For example, today, new devices, such as MP3 or MD players, are offered in market and relevant learning materials are easily and free to download on the Internet. However, it is a little bit hasty to assert that students can learn more information and more quickly, simply because technology helps.Technologies always contribute both benefits and detriments. For example, computers help students a lot in various ways, but at the same time have many negative even harmful impacts on the students. Most students nowadays play computer games.Sitting before the table, staring at the screen, clicking mouse button; the outcomes are cerebrum fatigue, visual deprivation and time waste. Chatting on the Internet is another great way to kill precious time, and one of negative side-effects of key. Board dependence makes students spelling incorrectly. Worst of all, investigations have shown that more than half of time that students have spent online was exhausted on browsing porn movies, fictions or erotic photos etc.Students certainly want to learn more information and to learn more quickly. But technology is not the solution. Learning is a skill and it only develops by practice. Computers and other devices can certainly help, but they won't make study any less painful. Technologies provide no solution to overcome indolence that everyone has. Learning has never been easy, and will not become easier merely because of technologies. It always requires tremendous effort and determination. Too much advocate of the fancy benefits of technologies will merely mislead, much more than virtually help.",8
"Computers do not help children to learn more effectively. In addition, their usage has negative effects on both the physical and mental development of young people. To what extent do you agree or disagree?","Some people think that computers do not help children learn more effectively. The use of computers in schools has negative effects on children's physical and mental development. Personally, I am not in favour of the point. I think children can benefit a lot from using computers.Now there appear good educational softwares[d12] that enable children to develop and practise some fundamental skills. They can help them learn, for example, about letters, numbers, shapes, and rhythm. Good softwares can also help children develop their procedural thinking and creative expression. Besides, computers help children to be in control of their experience, to set their own pace, and to select the level of challenge with which they feel Comfortable. They learn more effectively with the aid of computers than only by means of traditional techniques.It is also good for children's mental development to use computers in schools. By using computers children develop self-confidence and self-esteem as they master computer skills. And they will build positive attitudes toward technology. In addition, in the class roomsetting children often prefer working with one or two partners over working alone, which leads to the development of social skills.It is true that frequent and prolonged computer sessions may pose physical health risks for children, such as harmful effects of radiation, and posture and skeletal problems. In the case of normal usage and normal operating conditions, however, research has shown that computer monitors are safe and do not harm our eyes and that computer monitors emit little or no harmful radiation.To sum up, computers are good tools for children in study and beneficial to children's mental and physical health.",8
"Some people say that computers can translate all kinds of languages. Therefore, it is not necessary for children to learn foreign languages. To what extent do you agree or disagree?","The fantastic development of computers has made it possible for people to live better than ever possible before. It seems that people can never do without them. One good illustration is that with computers updating, all kinds of languages can now be translated by computers. Some people even hold the opinion that with this, children do not need to learn foreign languages. The argument seems reasonable, but speaking for myself, I to tallydisagree with it.The quality of computer translation cannot be ensured. It is clear that computers can only translate literally or word by word. Sometimes, we find ourselves confused by the head-scratching puzzlement about what they really want to tell. What makes matters worse is that machine translation is used in literature and science translation. The prime of some masterpieces can never be appreciated and some facts may be distorted.Additionally, a foreign language is always closely related to a country's cultures and customs. To study a foreign language well, one is supposed to not only focus on language learning itself, but also attach importance to a country's cultures and customs from which the language stems. This practice can only be experienced by a learner himself. Computer translation, in this case, settles nothing and cannot replace people's own efforts.The charm of a language also lies in the fact that it is a precious gift of human beings. When studying a foreign language, students can develop their intelligence, stimulate their imagination and creativity, form a good habit of industry and strengthen their confidence. The process of learning a foreign language is actually the way to cultivate students' all-around development. Computer translation, no matter how wonderful it is, can never play such a role in this process.Eye-catching as computer translation may seem, it is by no means a cure-all solution. Maybe, with it, students can study a foreign language better. However, it cannot replace the role of students in learning a foreign language. After all, it is human beings who are the master of languages.",8
The computer is widely used in education and some people think teachers do not play an important role in the classroom. To what extent do you agree or disagree?,"As the pace of digital technology speeds up, computers are now widely applied in education and winning tremendous popularity. However, there is no yet absolute agreement on the question whether teachers are of no use with this trend. As I see it, although computers employed in education enjoy an array of benefits such as high speed, easy accessibility and great efficiency, teachers are still of significance.On a substantive level, computers have reshaped the teaching as well as studying way. For teachers[d13], computers make the teaching method more colourful[d14], vivid and interesting. For students, computers help them finish their homework efficiently, obtain up-to-date information, expand their horizon and stimulate their interests in science.In spite of this, that teachers' roles will be replaced is a plausible hypothesis rather than reality. It is always the case that teachers can play an indispensable and imperative part that computers cannot. Teachers not only teach us knowledge, but render us many other things such as the positive attitude to life, moral instructions, the courage to overcome difficulties, a host of practical skills, to name just a few. As for students, they are often more crucial than knowledge itself. It is hard to imagine that without teachers, computers can perform as well as teachers do.Another point to note is that students are immature and are easily affected by adverse influence by computers. Nowadays, it is not rare to see that many students are addicted to computer games and live in a virtual world per day. As a result, they cannot concentrate on their study. What is even worse is that many youngsters are indulged in the Internet where violence, pornography and bloody contents are pervasive. Due to their inexperience and gullibility, they may go astray after watching too many these programs. From this angle, the existence of teachers is a must for the simple reason that they can supervise and educate students.Above all, I am still inclined to support the opinion that computers can never replace teachers. After all, the computer is only a vital assistant in teaching and it is teachers who make a difference in education.",8
Some people claim that public museums and art galleries will not be needed because people can see historical objects and works of art by using a computer. Do you agree or disagree with this opinion?,"It is simply absurd to assert that with historical objects and works of art being able to be seen through a computer, public museums and art galleries will no longer be needed.First of all, computers can never replace real public museums and art galleries. No matter how real and vivid computer images are, they are only images, not the historical objects and works of art that we see in real or even might be allowed to touch with our fingertips. For those who claim museums and galleries are no longer needed because they can see all they want to on a computer screen. I'd like to suggest that they marry a wife or husband in the computer rather than in real life!In the second place, visiting real museums and art galleries is a rewarding experience in many respects. For one thing, it is a good exercise. While we are making the trip to a museum or art gallery and then strolling about on site, we take some exercise which does a lot of good to our health. For another thing, we can feast our eyes on all kinds of things there and experience the wonder, beauty and exquisite workmanship with our own eyes in an active way instead of in a passive manner by looking at what are being displayed to us by others on the screen. For yet another thing, we protect our eyesight by moving away from the computer screen and see the real objects on site.It is true that computers have brought great conveniences to our life. At certain times, especially when it is temporarily impossible for us to visit museums and art galleries in person, we can get a rough picture of what are on display on site. However, what we see from a computer screen is, after all, not exactly the same as what we see and feel with our own eyes[d15] on site.In conclusion, computers will never be able to replace real public museums and art galleries. Therefore, it is ridiculous to say that one does not need to go to museums and art galleries as historical objects and works of art can be appreciated on a computer screen.",8
Are computers an essential feature of modern education? Are there aspects of a good education that cannot be taught using computers?,"Computers are now essential in many areas of life—modern banking, retail and information exchange[d16] among others. However, this is not true for education. At a simple level, some subjects may be better taught using computers, but to explain important concepts a human teacher is still indispensable.There are some subjects in which a computer can be used successfully to teach. Elementary mathematics, elementary language learning, any area which requires a student to memorise[d17] basic facts through repetition is well suited to computer learning. The computer can be programmed to provide an endless number of simple questions, and as the students answer these questions, the facts are learned and reinforced.However, in the learning and practice of more complex ideas, the computer is not adequate. A computer can evaluate an answer as right or wrong, but it cannot determine why. It cannot find out why a student is making mistakes, and then re-present important concepts in a different way so the student will understand. It cannot determine at what stage in a mathematics problem the student has made an error, it can only indicate that the final answer is wrong. Tasks involving reasoning cannot be taught by computers, as there are too many variables for a computer to deal with successfully.Thus, while computers may be useful as a tool for practising[d18] simple skills, they are not an essential feature of modern education, because they cannot monitor a student's grasp of concepts, nor evaluate a student's reasoning. Until further developments in computers are made, the human teacher will remain indispensable.",8
"The computer is widely used in education, and some people think teachers do not play important roles in the classroom and they will be replaced by computers. To what extent do you agree?","The computer is playing an increasingly important role in our daily life and it is also widely used in education. Some people even propose a suggestion that we will never need teachers from now on. There have been two quite different views on this issue.The use of computers in education seems to have important benefits for both students and teachers. First, the computer has the ability to accommodate to individual differences in learning speed, and so students can control the pace of lessons. Another advantage is that a computer can give immediate feedback. Most important of all, the computer offers numerous merits to teachers in preparing instructional materials, managing their classes and keeping students' records, thereby cutting down on time-consuming paperwork.Compared with the computer, however, teachers are indispensable to students. First, the computer's capacity is limited, so attending lectures is very essential for students whose ability of independent study is not fully established. Second, it is the professionally trained teachers' duty to give students moral education. Apart from the knowledge and skills, children in school also learn how to behave themselves, how to abide by the rules and regulations of the society and how to adjust themselves to the society. But the computer can do little in this aspect. The self-control ability of children is not enough. Without teachers' supervision, they tend to ignore their study.In my opinion, even if the computer can be of great help to teachers as well as to students, it will never replace teachers' work. We should never be so dependent on computers. If so, wehumans would sooner or later become slaves of machines.",8
